decade,entity_type,count,basis,provenance,notes
380s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
420s,INSTITUTIONS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
520s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
530s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
610s,PEOPLE,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
650s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
700s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
710s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
720s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
740s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
750s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
780s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1140s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1190s,INSTITUTIONS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1200s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1280s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1280s,TEXTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1290s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1320s,INSTITUTIONS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1320s,PEOPLE,3,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1320s,TRAVELS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1370s,EVENTS,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1860s,PEOPLE,3,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1870s,PEOPLE,1,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
1890s,PEOPLE,2,"Explicit dates only (birth_year, travel_start_year, text date, founded_year, event start_date)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
