event_id,title,start_date,end_date,status,basis,provenance,notes
EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,2023-02,2023-03,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),2026-04-04,2026-04-04,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0003,2nd Global Buddhist Summit,2026-01-24,2026-01-25,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0004,Jungto Society annual India pilgrimage program,2027-01-14,2027-01-30,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0005,Delhi University - BGICBS academic MOU,2026-04-23,2026-04-23,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0006,Jogye delegation pilgrimage Sarnath -> Bodh Gaya,2022-05,2022-05,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0007,Jogye pilgrimage to the 8 great sites + Nepal,2014-02-19,2014-03-04,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0008,Bunhwangsa India groundbreaking,2020-03-28,2020-03-28,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0009,Bunhwangsa India dedication (대웅보전 준공식),2022-05,2022-05,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0010,Global Buddhist Summit 2023,2023-04-20,2023-04-21,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),2025-08-22,2025-08-22,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0012,KBPF 2026 India pilgrimage (Dharamsala/Ajanta-Ellora/Sanchi),2026-10-03,2026-10-11,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0013,BBS Seon Meditation Tour 4 India-Nepal,2025-12-26,2026-01-04,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),2023-03-21,2023-03-25,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0015,Korean Buddhist delegation to India (국제불교문제연구소),1981-12,1982-01,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0016,Dongguk University - Nalanda University MOU,2023-02-24,2023-02-24,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0017,Enshrinement of Dhyānabhadra's relics at Hoeamsa,1370,1370,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0018,Return of Hoeamsa relics (Jikong/Naong + Buddha relics) from Boston MFA,2024-04,2024-05,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
EV-0019,Wang ocheonchukguk jeon first public display at National Museum of Korea,2010-12-18,2011-04-03,ALREADY_PRESENT,frozen events.csv end_date field; no derivation needed,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
