person_id,full_name,sequence,n_dated_events,basis,provenance,notes
P-0001,Hyecho,BIRTH 704 -> TRAVEL 719 -> TEXT 723 (AUTHOR) -> DEATH 787,4,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0002,Woncheuk,BIRTH 613 -> DEATH 696,2,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0003,Wŏnhyo,BIRTH 617 -> TEXT 650 (AUTHOR) -> DEATH 686,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0004,Kyŏnghŭng,NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0005,T'aehyŏn,TEXT 750 (AUTHOR),1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0006,Marananta,TRAVEL 384 -> TEXT 1145 (SUBJECT) -> TEXT 1283 (SUBJECT),3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0009,Iryŏn,BIRTH 1206 -> TEXT 1283 (AUTHOR) -> DEATH 1289,3,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0010,Hyeil (Silla esoteric monk),NO DATED ACTIVITY,0,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0011,Gyeomik,TRAVEL 526,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
P-0012,Baedalta,TRAVEL 531,1,birth/death years + travel_start_year + text dates + event start dates (explicit dates only),Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,Floruit-based activity (APPROX) excluded from sequences; see person_floruits.csv
