person_id,full_name,typology,movement_status,buddhist_relevance,connection_types,direction_of_influence,basis,provenance,notes
P-0001,Hyecho,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,BIDIRECTIONAL,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0002,Woncheuk,TEXTUAL_MEDIATOR,-,PRIMARY,TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0003,Wŏnhyo,TEXTUAL_MEDIATOR,-,PRIMARY,TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0004,Kyŏnghŭng,TEXTUAL_MEDIATOR,-,PRIMARY,TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0005,T'aehyŏn,TEXTUAL_MEDIATOR,-,PRIMARY,TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0006,Marananta,RESIDENT_WORKER,worked,PRIMARY,PHYSICAL_MOVEMENT; INSTITUTIONAL,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0009,Iryŏn,TEXTUAL_MEDIATOR,-,PRIMARY,TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0010,Hyeil (Silla esoteric monk),TEXTUAL_MEDIATOR,-,PRIMARY,TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0011,Gyeomik,STUDENT,studied,PRIMARY,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0012,Baedalta,RESIDENT_WORKER,worked,PRIMARY,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0013,Ariyabalma,STUDENT,studied,PRIMARY,PHYSICAL_MOVEMENT,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0014,Hyeeop,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0015,Hyŏnt'ae,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0016,Hyŏngak,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0017,Gubon,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
