person_id,full_name,period,birth_year,death_year,floruit_start,floruit_end,precision,confidence,basis,provenance,notes
P-0004,Kyŏnghŭng,ANCIENT,,,681,692,APPROX,MEDIUM,"Reign of King Sinmun (681-692) per record notes (""lived during King Sinmun's reign"")",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Ordained at 18; exact dates unrecorded
P-0005,T'aehyŏn,ANCIENT,,,742,765,APPROX,MEDIUM,Reign of King Gyeongdeok (742-765) per record notes (tradition),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Some scholars date him later
P-0006,Marananta,ANCIENT,,,384,384,APPROX,MEDIUM,Documented arrival in Baekje 384 CE (Samguk Sagi),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Single documented date
P-0010,Hyeil (Silla esoteric monk),ANCIENT,,,705,774,APPROX,MEDIUM,Disciple of Amoghavajra (705-774) per record,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,8th-century Silla esoteric monk
P-0011,Gyeomik,ANCIENT,,,526,531,APPROX,MEDIUM,"Documented: departed for India 526 (Seongwang 4), returned 531",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Dates from Korean Buddhist tradition (later compilations)
P-0012,Baedalta,ANCIENT,,,531,531,APPROX,MEDIUM,Documented: accompanied Gyeomik to Baekje 531,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Single documented date
P-0013,Ariyabalma,ANCIENT,,,671,695,APPROX,MEDIUM,"Recorded by Yijing, who visited India 671-695",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Died at Nalanda aged 70+
P-0014,Hyeeop,ANCIENT,,,671,695,APPROX,MEDIUM,Yijing era (671-695); manuscripts seen at Nalanda by Yijing's party,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Died in India aged ~60
P-0015,Hyŏnt'ae,ANCIENT,,,671,695,APPROX,MEDIUM,Yijing era (671-695),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Died in China
P-0016,Hyŏngak,ANCIENT,,,627,649,APPROX,MEDIUM,"Zhenguan era (627-649) per record (""accompanied Xuanzhao in the Zhenguan era"")",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Died at Bodhgaya in his 40s
P-0017,Gubon,ANCIENT,,,671,695,APPROX,MEDIUM,Yijing era (671-695); recorded with the Silla contingent in Yijing,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
P-0018,Hyeryun,ANCIENT,,,671,695,APPROX,MEDIUM,Yijing era (671-695); included in Yijing's Da Tang Xiyu qiufa gaoseng zhuan,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Silla vs Koguryo identity debated
P-0020,Ojin,ANCIENT,,,785,798,APPROX,MEDIUM,"Went to Tang with Hyeil c. 789, King Wonseong era (785-798)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Died in Tibet
P-0021,Wonpyo,ANCIENT,,,742,765,APPROX,MEDIUM,King Gyeongdeok era (742-765) per record,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Died in China
P-0022,Hyŏnyu,ANCIENT,,,671,695,APPROX,MEDIUM,Yijing era (671-695); followed Chinese monk Sengche,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Ordained in Sri Lanka; South Asian not mainland-India connection
P-0054,Jung Seung-suk,CONTEMPORARY,,,1980,1991,APPROX,HIGH,"Documented degrees: MA 1980, PhD 1991 (Dongguk) per institution_org field",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,"Career scholar of Indian philosophy; NOT India-trained. Documented window (1980-1991) crosses the B6 boundary (1990-2026): band = India-exchange activity, floruit = documented activity; overlap is expected, not an error"
P-0055,U Myeong-ju,CONTEMPORARY,,,2001,2019,APPROX,HIGH,"Documented: MA c. 2001 (Delhi), article 2019-03-19",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Residence in Delhi documented; exact years approximate
P-0062,Buddhavara (Ven.),CONTEMPORARY,,,2026,2026,APPROX,MEDIUM,Documented activity: MOU 2026-04-23; Beopbo 2026-07-08,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Long-term Bodh Gaya residence documented but undated; floruit = documented activity window only
P-0064,Wookwan (Ven.),CONTEMPORARY,,,2005,2015,APPROX,HIGH,"Documented: 5+ years in India; PhD completion 2010 (newer source 2022 says ""수료"")",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Discrepancy between sources noted in record
P-0073,Hwang Su-yŏng,CONTEMPORARY,,,1962,1963,APPROX,HIGH,Documented survey journey 1962-01-21 to 1963-05-09,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Career spans decades; floruit = documented India activity window
