person_id,full_name,period,band,nationality_region,profession_role,role_1,role_2,role_3,religious_affiliation,tradition_1,tradition_2,tradition_3,movement_status,buddhist_relevance,scope,direction_of_influence,exchange_types,connection_types,institution_status,mapped_institution_ids,birth_year,death_year,floruit_start,floruit_end,confidence,status,source_count,single_source,n_rels,rel_kinds,n_ptx,ptx_roles,n_events,event_roles,notes
P-0001,Hyecho,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Buddhist monk; pilgrim; translator,PILGRIM_MONK,,,Buddhism (Esoteric/Vajrayana; disciple of Vajrabodhi and Amoghavajra),ESOTERIC,,,visited,PRIMARY,KEEP,BIDIRECTIONAL,RELIGIOUS;LITERARY;INTELLECTUAL,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,UNMAPPED,,704,787,,,HIGH,VERIFIED,6,NO,0,,1,AUTHOR,0,,"Travel dates conflict across sources (719-727 vs 723-727/728; '730경' per our-history-net). Standard Korean dates 704-787 (Korean Wikipedia, NIKH-adjacent sources, 인천in); birth c. 700 / death 780 appear in older scholarship - kept as variant. Author identification with Amoghavajra's Silla disciple is scholarly consensus (Takakusu)."
P-0002,Woncheuk,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Buddhist monk; Yogacara scholar; abbot,SCHOLAR_MONK,,,Buddhism (East Asian Yogacara/Cittamatra),YOGACARA,,,-,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,TEXTUAL_TRANSMISSION,UNMAPPED,,613,696,,,HIGH,VERIFIED,2,NO,0,,0,,0,,Dates 613-696 per John Powers (JIABS); some accounts differ slightly.
P-0003,Wŏnhyo,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Buddhist philosopher-monk; author; popularizer; founder of Haedongjong,SCHOLAR_MONK,,,Buddhism (Hwaeom/Huayan and broader Mahayana),HWA_EOM,GENERAL_BUDDHISM,,-,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,TEXTUAL_TRANSMISSION,UNMAPPED,,617,686,,,HIGH,VERIFIED,3,NO,0,,1,AUTHOR,0,,"Person and works verified; the cave legend is traditional hagiography. Relationship to India is intellectual, not physical."
P-0004,Kyŏnghŭng,ANCIENT,B1 Ancient/early-medieval (<900),"KOREAN (Silla; born Ungcheon, former Baekje territory)",Buddhist monk; commentator; one of Silla's 'Three/Four Great Writers',SCHOLAR_MONK,,,Buddhism (specialized in Pure Land/Amitabha commentary),PURE_LAND,,,-,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,TEXTUAL_TRANSMISSION,UNMAPPED,,,,681,692,MEDIUM,VERIFIED,2,NO,0,,0,,0,,Exact dates unrecorded; ordained at 18; lived during King Sinmun's reign.
P-0005,T'aehyŏn,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Buddhist monk; Yogacara commentator; one of Silla's Four Great Writers,SCHOLAR_MONK,,,Buddhism (Yogacara; later revered as founder of Goryeo Yugajong),YOGACARA,,,-,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,TEXTUAL_TRANSMISSION,UNMAPPED,,,,742,765,MEDIUM,VERIFIED,2,NO,0,,1,AUTHOR,0,,Dates approximate; placed in King Gyeongdeok's reign (742-765) by tradition; some scholars date him later.
P-0006,Marananta,ANCIENT,B1 Ancient/early-medieval (<900),UNCERTAIN (Western Regions/Serindia; some scholars argue Indian; came via Eastern Jin China),Buddhist monk ('foreign monk' 胡僧),MONK_GENERAL,,,Buddhism,GENERAL_BUDDHISM,,,worked,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS,PHYSICAL_MOVEMENT; INSTITUTIONAL,UNMAPPED,,,,384,384,MEDIUM,VERIFIED,3,NO,1,DOCUMENTED,2,SUBJECT,0,,Origin debated: db.history.go.kr (Samguk Sagi) notes '흔히 서역 출신으로 추정' with a minority view identifying him as an Indian monk (이상호 1960); encykorea describes him as '인도의 승려' (Gandhara-born per en-wiki); arrived via Eastern Jin. Sanskrit reconstruction of the name not attested in sources.
P-0009,Iryŏn,MEDIEVAL,B2 Silla/Goryeo (900-1392),KOREAN (Goryeo),Buddhist monk; historian; author,SCHOLAR_MONK,,,Buddhism (Seon),SEON_CHAN,,,-,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;LITERARY;INTELLECTUAL,TEXTUAL_TRANSMISSION,UNMAPPED,,1206,1289,,,HIGH,VERIFIED,2,NO,1,DOCUMENTED,1,AUTHOR,0,,Wrote ~80 volumes; only Samguk Yusa survives.
P-0010,Hyeil (Silla esoteric monk),ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Silla),Buddhist monk; Esoteric (Milgyo) master,SCHOLAR_MONK,,,Buddhism (Esoteric/Vajrayana); disciple of Amoghavajra (705-774),ESOTERIC,,,-,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS,TEXTUAL_TRANSMISSION,UNMAPPED,,,,705,774,MEDIUM,VERIFIED,2,NO,0,,0,,0,,"DO NOT confuse with (a) Goryeo Hwaeom monk Gyeoleung (courtesy name 慧日), (b) late-Goryeo Jeju poet-monk 慧日, or (c) a Japanese monk 惠日 (623)."
P-0011,Gyeomik,ANCIENT,B1 Ancient/early-medieval (<900),KOREAN (Baekje),Monk; Vinaya (Lu) scholar-translator,PILGRIM_MONK,SCHOLAR_MONK,TRANSLATOR,Buddhism (Vinaya),VINAYA,,,studied,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS;LINGUISTIC;INTELLECTUAL,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,UNMAPPED,,,,526,531,MEDIUM,PARTIAL,2,NO,1,MET_IN_PERSON,0,,0,,Recorded in Korean Buddhist tradition; surviving sources are later compilations.
P-0012,Baedalta,ANCIENT,B1 Ancient/early-medieval (<900),INDIAN,Indian Tripitaka master (三藏),MONK_GENERAL,,,Buddhism,GENERAL_BUDDHISM,,,worked,PRIMARY,KEEP,INDIA_TO_KOREA,RELIGIOUS,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,UNMAPPED,,,,531,531,MEDIUM,PARTIAL,2,NO,1,MET_IN_PERSON,0,,0,,Hanja given in tradition; do not assert a specific Sanskrit reconstruction.
