role,band,count,basis,provenance,notes
PILGRIM_MONK,B1,11,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PILGRIM_MONK,B2,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PILGRIM_MONK,B4,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PILGRIM_MONK,B5,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PILGRIM_MONK,B6,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SCHOLAR_MONK,B1,6,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SCHOLAR_MONK,B2,1,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SCHOLAR_MONK,B4,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SCHOLAR_MONK,B5,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SCHOLAR_MONK,B6,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MASTER_PATRIARCH,B1,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MASTER_PATRIARCH,B2,5,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MASTER_PATRIARCH,B4,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
MASTER_PATRIARCH,B5,0,register.csv role_1/2/3 x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
