band,source_type,count,basis,provenance,notes
B1,ARCHIVAL,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B1,PRIMARY,8,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B1,SECONDARY,17,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B1,TERTIARY,15,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B2,ARCHIVAL,2,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B2,DATABASE,2,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B2,NEWS,7,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B2,SECONDARY,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B2,TERTIARY,4,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B2,WEBSITE,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B4,ARCHIVAL,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B4,NEWS,7,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B4,PRIMARY,1,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B4,SECONDARY,8,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
B4,TERTIARY,2,source_ids of carried PEOPLE and EVENTS resolved against sources.csv source_type (only tables with source_ids in the frozen schema),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
