tradition,band,count,basis,provenance,notes
SEON_CHAN,B1,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SEON_CHAN,B2,6,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SEON_CHAN,B4,2,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SEON_CHAN,B5,1,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
SEON_CHAN,B6,5,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ESOTERIC,B1,3,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ESOTERIC,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ESOTERIC,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ESOTERIC,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
ESOTERIC,B6,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
YOGACARA,B1,2,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
YOGACARA,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
YOGACARA,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
YOGACARA,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
YOGACARA,B6,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
VINAYA,B1,1,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
VINAYA,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
VINAYA,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
VINAYA,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
VINAYA,B6,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
HWA_EOM,B1,1,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
HWA_EOM,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
HWA_EOM,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
HWA_EOM,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
HWA_EOM,B6,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PURE_LAND,B1,1,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PURE_LAND,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PURE_LAND,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PURE_LAND,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
PURE_LAND,B6,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
GENERAL_BUDDHISM,B1,11,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
GENERAL_BUDDHISM,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
GENERAL_BUDDHISM,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
GENERAL_BUDDHISM,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
GENERAL_BUDDHISM,B6,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LAY_BUDDHIST,B1,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LAY_BUDDHIST,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LAY_BUDDHIST,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LAY_BUDDHIST,B5,2,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
LAY_BUDDHIST,B6,2,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST,B1,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST,B4,4,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST,B5,2,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
NON_BUDDHIST,B6,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
THERAVADA_ORIENTED,B1,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
THERAVADA_ORIENTED,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
THERAVADA_ORIENTED,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
THERAVADA_ORIENTED,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
THERAVADA_ORIENTED,B6,1,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
UNKNOWN,B1,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
UNKNOWN,B2,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
UNKNOWN,B4,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
UNKNOWN,B5,0,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
UNKNOWN,B6,1,tradition_taxonomy.csv x band,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
