travel_id,person_id,person_name,origin_place_id,destination_place_id,scope,range_start,range_end,precision,confidence,basis,provenance,notes
T-0005,P-0013,Ariyabalma,PL-0001,PL-0009,KEEP,671,695,APPROX,MEDIUM,Person floruit P-0013 (Yijing era),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0006,P-0014,Hyeeop,PL-0001,PL-0010,KEEP,671,695,APPROX,MEDIUM,Person floruit P-0014 (Yijing era),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0007,P-0015,Hyŏnt'ae,PL-0001,PL-0015,KEEP,671,695,APPROX,MEDIUM,Person floruit P-0015 (Yijing era),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0008,P-0016,Hyŏngak,PL-0001,PL-0010,KEEP,627,649,APPROX,MEDIUM,Person floruit P-0016 (Zhenguan era),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0009,P-0017,Gubon,PL-0001,PL-0009,KEEP,671,695,APPROX,MEDIUM,Person floruit P-0017 (Yijing era),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0012,P-0022,Hyŏnyu,PL-0004,PL-0022,KEEP,671,695,APPROX,MEDIUM,Person floruit P-0022 (Yijing era),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0029,P-0056,Lee Jeong-ho,PL-0024,PL-0013,EXCLUDE,2010,2010,APPROX,LOW,Person's only documented activity: Tamas translation dated 2010 (TX-0025),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Travel date itself undocumented; weak anchor
T-0030,P-0057,Pankaj Mohan,PL-0027,PL-0024,EXCLUDE,,,UNDOCUMENTED,LOW,No dated activity in frozen record,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,UNDOCUMENTED — cannot be derived from frozen data
T-0032,P-0061,Vyjayanti Raghavan,PL-0027,PL-0024,EXCLUDE,2000,2015,APPROX,MEDIUM,"Person floruit P-0061 (""built the Korean language program at JNU since 2000""; engagements incl. 2015)",Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0033,P-0062,Buddhavara (Ven.),PL-0024,PL-0010,KEEP,2026,2026,APPROX,MEDIUM,Person floruit P-0062 (documented activity 2026),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,Residence start undocumented
T-0034,P-0063,Hyoseok (Ven.),PL-0024,PL-0014,KEEP,,,UNDOCUMENTED,LOW,No dated activity in frozen record (born 1970 only),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,UNDOCUMENTED — cannot be derived from frozen data
T-0035,P-0064,Wookwan (Ven.),PL-0024,PL-0013,KEEP,2005,2015,APPROX,MEDIUM,Person floruit P-0064 (5+ years in India; PhD 2010),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0039,P-0018,Hyeryun,PL-0001,PL-0031,KEEP,671,695,APPROX,MEDIUM,Person floruit P-0018 (Yijing era),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
T-0041,P-0059,Kaushal Kumar,PL-0027,PL-0024,EXCLUDE,,,UNDOCUMENTED,LOW,No dated activity in frozen record,Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,UNDOCUMENTED — cannot be derived from frozen data
