person_id,full_name,cluster,basis,provenance,notes
P-0001,Hyecho,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0002,Woncheuk,B1 SILLA SCHOLAR,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0003,Wŏnhyo,B1 SILLA SCHOLAR,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0004,Kyŏnghŭng,B1 SILLA SCHOLAR,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0005,T'aehyŏn,B1 SILLA SCHOLAR,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0006,Marananta,B1 SILLA SCHOLAR,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0009,Iryŏn,B2 JIKONG CIRCLE,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0010,Hyeil (Silla esoteric monk),B1 SILLA SCHOLAR,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0011,Gyeomik,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0012,Baedalta,B1 SILLA SCHOLAR,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0013,Ariyabalma,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
P-0014,Hyeeop,B1 SILLA MONK COHORT,"Descriptive clustering on band + role + movement + tradition; exploratory, not inferential",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,"Cluster labels are descriptive groupings for comparison, NOT claims of historical importance"
