edge_id,source_node,target_node,source_type,target_type,connection_type,subtype,direction,confidence,historical_band,evidence_source_ids,legendary,underlying_record_id,evidence
E-0001,P-0007,P-0008,PEOPLE,PEOPLE,LEGENDARY,FAMILY,UNDIRECTED,SPECULATIVE,B1,,1,R-0001,Garakguk-gi marriage legend
E-0002,P-0011,P-0012,PEOPLE,PEOPLE,PERSON_ENCOUNTER,MET_IN_PERSON,UNDIRECTED,MEDIUM,B1,,0,R-0002,Gyeomik's return voyage with Baedalta (531)
E-0003,P-0023,P-0024,PEOPLE,PEOPLE,PERSON_ENCOUNTER,TEACHER_STUDENT,UNDIRECTED,MEDIUM,B2,,0,R-0003,KCI scholarship (Ko Young-seop); Jikong's precepts and exhortation
E-0004,P-0029,P-0030,PEOPLE,PEOPLE,PERSON_ENCOUNTER,MET_IN_PERSON,UNDIRECTED,HIGH,B4,,0,R-0004,Tokyo 1916 Imperial University lecture meeting
E-0005,P-0030,P-0034,PEOPLE,PEOPLE,INDIRECT_INFLUENCE,INFLUENCED,UNCERTAIN,HIGH,B4,,0,R-0009,KCI comparative studies; Han's 1926 essay on Tagore
E-0006,P-0038,P-0052,PEOPLE,PEOPLE,INDIRECT_INFLUENCE,INFLUENCED,UNCERTAIN,MEDIUM,B4,,0,R-0012,Gandhi quote opens Muso-yu; Bulkwang 2024
E-0007,P-0052,P-0071,PEOPLE,PEOPLE,PERSON_ENCOUNTER,MET_IN_PERSON,UNDIRECTED,MEDIUM,B5,,0,R-0013,1971 ashram visit; Bulkwang 2024
E-0008,P-0023,P-0074,PEOPLE,PEOPLE,PERSON_ENCOUNTER,TEACHER_STUDENT,UNDIRECTED,MEDIUM,B2,,0,R-0019,Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26): Muhak received Jikong's teaching in Yuan China; later Naong's disciple
E-0009,P-0023,P-0075,PEOPLE,PEOPLE,PERSON_ENCOUNTER,TEACHER_STUDENT,UNDIRECTED,MEDIUM,B2,,0,R-0020,Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26): Baegun received Jikong's inka in Yuan China
E-0010,P-0068,P-0076,PEOPLE,PEOPLE,PERSON_ENCOUNTER,MET_IN_PERSON,UNDIRECTED,MEDIUM,B5,,0,R-0021,"Dongguk University newspaper interview article (동대신문, reposted 2010-08-11)"
E-0011,P-0023,P-0077,PEOPLE,PEOPLE,PERSON_ENCOUNTER,TEACHER_STUDENT,UNDIRECTED,MEDIUM,B2,,0,R-0022,Per tradition (Jahyeon 2017 monograph; Hyunbul 2017-01-26; Atlas News 2025-12-31): Ch'ukwŏn was one of Jikong's representative disciples
E-0012,P-0001,TX-0001,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B1,,0,L-0101,
E-0013,P-0003,TX-0002,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B1,,0,L-0102,
E-0014,P-0009,TX-0003,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B2,,0,L-0103,
E-0015,P-0028,TX-0007,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B4,,0,L-0107,
E-0016,P-0030,TX-0010,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B4,,0,L-0110,
E-0017,P-0034,TX-0012,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B4,,0,L-0112,
E-0018,P-0029,TX-0016,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B4,,0,L-0116,
E-0019,P-0052,TX-0018,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B5,,0,L-0118,
E-0020,P-0064,TX-0019,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B6,,0,L-0119,
E-0021,P-0053,TX-0020,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B6,,0,L-0120,
E-0022,P-0005,TX-0029,PEOPLE,TEXTS,TEXTUAL_TRANSMISSION,AUTHOR,PERSON_TO_TEXT,HIGH,B1,,0,L-0131,
E-0023,P-0013,I-0002,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B1,,0,MAP-P-0013-I-0002,Nalanda Mahavihara
E-0024,P-0014,I-0002,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,MEDIUM,B1,,0,MAP-P-0014-I-0002,"Nalanda mapped; ""Bodhi temple (Bodhgaya)"" not in institutions.csv"
E-0025,P-0023,I-0002,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B1,,0,MAP-P-0023-I-0002,Ordained at Nalanda; founded Hoeamsa 1328
E-0026,P-0023,I-0003,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B2,,0,MAP-P-0023-I-0003,Ordained at Nalanda; founded Hoeamsa 1328
E-0027,P-0052,I-0020,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B5,,0,MAP-P-0052-I-0020,Songgwangsa lineage
E-0028,P-0054,I-0010,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B6,,0,MAP-P-0054-I-0010,"Dongguk University (MA 1980, PhD 1991)"
E-0029,P-0055,I-0010,PEOPLE,INSTITUTIONS,INSTITUTIONAL,INSTITUTION_MAPPING,PERSON_TO_INSTITUTION,HIGH,B6,,0,MAP-P-0055-I-0010,Dongguk University Gyeongju campus -> I-0010 (note: campus)
