node_id,label,node_type,scope,historical_band,tradition,geography,confidence,relevance,direction,source_count,single_source,evidence_metadata,underlying_record_id
EP-0001,Jeongbeom sunim (정범 스님),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,"Jogye 해외특별교구 교구장 직무대행 (acting head, overseas special diocese); attended GBS 2023 as official representative on behalf of 총무원장 (hyunbulnews_gbs2023)",EP-0001
EP-0002,Munjong sunim (문종 스님),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,Jogye 국제교류위원/제전법단장 (international exchange committee member / propagation team head); attended 2nd GBS 2026 as representative of 총무원장 Jinwoo (tongbulgyo_gbs2026),EP-0002
EP-0003,Jinwoo sunim (진우 스님),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,Jogye 총무원장 (supreme patriarch); congratulatory message read aloud at 2nd GBS 2026 by Munjong; represented at GBS 2023 by Jeongbeom (tongbulgyo_gbs2026; hyunbulnews_gbs2023),EP-0003
EP-0004,Wonhaeng sunim (원행 스님),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,"Jogye 총무원장; led the 150-person official delegation to the Bunhwangsa India dedication, May 2022 (hyunbulnews_bunhwangsa_2022)",EP-0004
EP-0005,Jung Won-ju (정원주),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,"President, Lay Buddhist Association of the Jogye Order; received the IBC Buddha statue at Bexpo 2026 (koreaherald_bexpo2026)",EP-0005
EP-0006,Abhijit Halder,PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,"Director General, International Buddhist Confederation; presented the Buddha statue at Bexpo 2026; spoke at ICYBS 2025 (koreaherald_bexpo2026; ibcworld_icybs2025)",EP-0006
EP-0007,Pomnyun sunim (법륜 스님),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,Jungto Society founder; leads the annual India pilgrimage program (jungto_india),EP-0007
EP-0008,Jugyeong sunim (주경 스님),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,"Jogye 중앙종회의장 (chair, Central Council); represented the order at the Korea-India 50th anniversary cultural exchange, 21 Mar 2023 (ibulgyo_jogye50th_2023)",EP-0008
EP-0009,Jang Jae-bok (장재복),PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,ROK Ambassador to India; hosted the temple-food dinner at the ambassador's residence; praised the Sangwol pilgrimage for strengthening bilateral ties (ibulgyo_jogye50th_2023),EP-0009
EP-0010,"Korean Buddhist delegation (6 members, 국제불교문제연구소 파견)",PEOPLE,EVENT_PARTICIPANT,,,Korea/India event participant,HIGH,EVENT_ONLY,UNCERTAIN,,0,"Members unnamed in Dong-A 1982-01-19; dispatched by the International Buddhist Problems Research Institute (director 소장 김광태); toured Indian sacred sites, met PM Indira Gandhi, donated a Tripitaka Koreana facsimile at Nalanda; agreed Kelaniya-Bongeunsa sisterhood in Sri Lanka (donga_delegation_1982)",EP-0010
EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,EVENTS,CARRIED,B6,,PL-0032,HIGH,PILGRIMAGE,UNCERTAIN,4,0,S-0147;S-0108;S-0080;S-0156,EV-0001
EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),EVENTS,CARRIED,B6,,PL-0024,HIGH,EXHIBITION,UNCERTAIN,2,0,S-0109;S-0145,EV-0002
EV-0003,2nd Global Buddhist Summit,EVENTS,CARRIED,B6,,PL-0027,HIGH,CONFERENCE,UNCERTAIN,4,0,S-0158;S-0022;S-0069;S-0029,EV-0003
EV-0004,Jungto Society annual India pilgrimage program,EVENTS,CARRIED,B6,,PL-0010,HIGH,PILGRIMAGE,UNCERTAIN,1,1,S-0087,EV-0004
EV-0005,Delhi University - BGICBS academic MOU,EVENTS,CARRIED,B6,,PL-0013,MEDIUM,MOU_AGREEMENT,UNCERTAIN,1,1,S-0018,EV-0005
EV-0006,Jogye delegation pilgrimage Sarnath -> Bodh Gaya,EVENTS,CARRIED,B6,,PL-0032,HIGH,PILGRIMAGE,UNCERTAIN,1,1,S-0011,EV-0006
EV-0007,Jogye pilgrimage to the 8 great sites + Nepal,EVENTS,CARRIED,B6,,PL-0010,HIGH,PILGRIMAGE,UNCERTAIN,1,1,S-0085,EV-0007
EV-0008,Bunhwangsa India groundbreaking,EVENTS,CARRIED,B6,,PL-0010,HIGH,TEMPLE_FOUNDATION,UNCERTAIN,1,1,S-0071,EV-0008
EV-0009,Bunhwangsa India dedication (대웅보전 준공식),EVENTS,CARRIED,B6,,PL-0010,HIGH,TEMPLE_DEDICATION,UNCERTAIN,3,0,S-0065;S-0021;S-0115,EV-0009
EV-0010,Global Buddhist Summit 2023,EVENTS,CARRIED,B6,,PL-0027,HIGH,CONFERENCE,UNCERTAIN,3,0,S-0066;S-0068;S-0033,EV-0010
EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),EVENTS,CARRIED,B6,,PL-0027,MEDIUM,CONFERENCE,UNCERTAIN,3,0,S-0070;S-0146;S-0028,EV-0011
EV-0012,KBPF 2026 India pilgrimage (Dharamsala/Ajanta-Ellora/Sanchi),EVENTS,CARRIED,B6,,PL-0039,HIGH,PILGRIMAGE,UNCERTAIN,1,1,S-0090,EV-0012
EV-0013,BBS Seon Meditation Tour 4 India-Nepal,EVENTS,CARRIED,B6,,PL-0010,HIGH,PILGRIMAGE,UNCERTAIN,1,1,S-0010,EV-0013
EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),EVENTS,CARRIED,B6,,PL-0027,HIGH,EXHIBITION,UNCERTAIN,1,1,S-0074,EV-0014
EV-0015,Korean Buddhist delegation to India (국제불교문제연구소),EVENTS,CARRIED,B5,,PL-0031,HIGH,PILGRIMAGE,UNCERTAIN,2,0,S-0030;S-0062,EV-0015
EV-0016,Dongguk University - Nalanda University MOU,EVENTS,CARRIED,B6,,PL-0009,HIGH,MOU_AGREEMENT,UNCERTAIN,1,1,S-0062,EV-0016
EV-0017,Enshrinement of Dhyānabhadra's relics at Hoeamsa,EVENTS,CARRIED,B2,,PL-0005,HIGH,RELIC_TRANSFER,UNCERTAIN,2,0,S-0020;S-0064,EV-0017
EV-0018,Return of Hoeamsa relics (Jikong/Naong + Buddha relics) from Boston MFA,EVENTS,CARRIED,B6,,PL-0005,HIGH,RELIC_TRANSFER,UNCERTAIN,2,0,S-0059;S-0073,EV-0018
EV-0019,Wang ocheonchukguk jeon first public display at National Museum of Korea,EVENTS,CARRIED,B6,,PL-0024,HIGH,EXHIBITION,UNCERTAIN,3,0,S-0127;S-0091;S-0058,EV-0019
I-0002,Nalanda Mahavihara,INSTITUTIONS,CARRIED,B1,,PL-0009,MEDIUM,"Destination of Silla monks (Ariyabalma, Hyeeop); ordination site of Dhyānabhadra;Source of Indian monastic learning for Koreans",UNCERTAIN,,0,Flourished 5th-13th c.,I-0002
I-0003,Hoeamsa,INSTITUTIONS,CARRIED,B2,,PL-0005,MEDIUM,Founded by Indian master Dhyānabhadra (reportedly modeled on Nalanda);Major Goryeo Seon temple,UNCERTAIN,,0,,I-0003
I-0010,Dongguk University,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,Indian philosophy program (Jung Seung-suk);Buddhist university,UNCERTAIN,,0,,I-0010
I-0012,University of Delhi,INSTITUTIONS,CARRIED,B6,,PL-0013,MEDIUM,"Hosted Korean students U Myeong-ju, Wookwan, Gakseong, Hyoseok (PhD);Main Indian university for Korean Buddhist studies students",UNCERTAIN,,0,,I-0012
I-0013,Pune University (SPPU),INSTITUTIONS,CARRIED,B6,,PL-0014,MEDIUM,Hyoseok's MA (cultural anthropology);,UNCERTAIN,,0,,I-0013
I-0014,Bodh Gaya International College of Buddhist Studies,INSTITUTIONS,CARRIED,B6,,PL-0010,MEDIUM,"Korean-led Buddhist college in India (Buddhavara, Chancellor);Korean Buddhist institutional presence in India",UNCERTAIN,,0,MOU with Delhi University 2026,I-0014
I-0015,Bunhwangsa India,INSTITUTIONS,CARRIED,B6,,PL-0010,MEDIUM,Korean Jogye temple at Bodh Gaya (abbot Buddhavara);Korean temple network in India,UNCERTAIN,,0,,I-0015
I-0016,Mahayeon Temple Food Culture Center,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,Founded by India-trained Wookwan;Korean temple food authority,UNCERTAIN,,0,,I-0016
I-0020,Songgwangsa lineage,INSTITUTIONS,CARRIED,B5,,PL-0024,MEDIUM,Pŏpchŏng's monastic lineage;Korean Seon lineage,UNCERTAIN,,0,,I-0020
I-0021,Bongnyeongsa,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,Monastic college where Hyoseok and Wookwan trained;Bhikkhuni education center,UNCERTAIN,,0,,I-0021
I-0022,Jogye Order of Korean Buddhism,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,Host of 2023 Sangwol walking pilgrimage in India (PIB-documented); Bunhwangsa India (2020-22); official delegation Sarnath->Bodh Gaya May 2022 led by 총무원장 Wonhaeng;Korea's largest Buddhist order,UNCERTAIN,,0,"Head temple Jogyesa, Seoul",I-0022
I-0023,Sangwol Society,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,"Organizer of the 1167-km / 43-day India-Nepal walking pilgrimage (2023, 108+ monastics);Korean monastic confraternity for the walking-pilgrimage tradition",UNCERTAIN,,0,PIB PRID=1896682,I-0023
I-0024,Jungto Society,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,"Annual India pilgrimage program (35th early 2026; 36th 14-30 Jan 2027, 500 persons); Bodh Gaya region focus;Korean Buddhist social-engagement movement (founder Pomnyun Sunim)",UNCERTAIN,,0,jungto.org/india,I-0024
I-0025,Yeoraesunwon,INSTITUTIONS,CARRIED,B6,,PL-0010,MEDIUM,Korean-run temple at Bodh Gaya; 10 years of alms-supported operation by 2011; abbot Wonman sunim; 달마학교 (Dharma School) for children; visited by 2014 Jogye pilgrimage;Korean monastic presence in India,UNCERTAIN,,0,Beopbo 2011-06-30,I-0025
I-0026,International Buddhist Confederation (IBC),INSTITUTIONS,CARRIED,B6,,PL-0027,MEDIUM,Host of GBS 2023 and 2nd GBS 2026 (New Delhi); co-organizer ICYBS 2025; Buddha statue gift to Jogye lay association at Bexpo 2026;India's umbrella Buddhist body engaging Korean orders,UNCERTAIN,,0,ibcworld.org,I-0026
I-0027,Korea Buddhism Promotion Foundation,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,"Organizer of 2026 India pilgrimage (3-11 Oct 2026, Dharamsala/Ajanta-Ellora/Sanchi, 8N9D);Korean Buddhist foundation (Daewon Academy, 월간불교문화)",UNCERTAIN,,0,kbpf.org notice idx=172150129,I-0027
I-0028,Buddhist Broadcasting System,INSTITUTIONS,CARRIED,B6,,PL-0024,MEDIUM,"Organizer of 세계 선명상 투어 4탄 India-Nepal pilgrimage (26 Dec 2025 - 4 Jan 2026, led by 선업 스님);Korea's Buddhist broadcaster; overseas pilgrimage programs",UNCERTAIN,,0,bbs.or.kr,I-0028
I-0030,International Buddhist Problems Research Institute,INSTITUTIONS,CARRIED,B5,,PL-0024,MEDIUM,"Dispatched the 6-member Korean Buddhist delegation to India (Dec 1981): toured sacred sites, met PM Indira Gandhi, donated a Haeinsa Tripitaka Koreana facsimile to Nalanda;Korean Buddhist research institute active in international Buddhist exchange",UNCERTAIN,,0,Director (소장): Kim Gwang-tae (김광태); seat not documented in cited sources - assumed Korea (PL-0024) per Dong-A 1982,I-0030
I-0031,Nalanda University,INSTITUTIONS,CARRIED,B6,,PL-0009,MEDIUM,Modern international university in the Nalanda district (Rajgir area); signed an academic MOU with Dongguk University 2023-02-24 (VC Sunaina Singh);Dongguk University partner for joint education/research,UNCERTAIN,,0,Established 2014 by Bihar legislation (EAS initiative); distinct from the ancient Nalanda Mahavihara (I-0002),I-0031
P-0001,Hyecho,PEOPLE,CARRIED,B1,ESOTERIC,KOREAN (Silla),HIGH,PRIMARY,BIDIRECTIONAL,6,0,S-0048;S-0039;S-0137;S-0095;S-0104;S-0105,P-0001
P-0002,Woncheuk,PEOPLE,CARRIED,B1,YOGACARA,KOREAN (Silla),HIGH,PRIMARY,INDIA_TO_KOREA,2,0,S-0149;S-0051,P-0002
P-0003,Wŏnhyo,PEOPLE,CARRIED,B1,HWA_EOM;GENERAL_BUDDHISM,KOREAN (Silla),HIGH,PRIMARY,INDIA_TO_KOREA,3,0,S-0001;S-0049;S-0038,P-0003
P-0004,Kyŏnghŭng,PEOPLE,CARRIED,B1,PURE_LAND,"KOREAN (Silla; born Ungcheon, former Baekje territory)",MEDIUM,PRIMARY,INDIA_TO_KOREA,2,0,S-0037;S-0160,P-0004
P-0005,T'aehyŏn,PEOPLE,CARRIED,B1,YOGACARA,KOREAN (Silla),MEDIUM,PRIMARY,INDIA_TO_KOREA,2,0,S-0046;S-0161,P-0005
P-0006,Marananta,PEOPLE,CARRIED,B1,GENERAL_BUDDHISM,UNCERTAIN (Western Regions/Serindia; some scholars argue Indian; came via Eastern Jin China),MEDIUM,PRIMARY,INDIA_TO_KOREA,3,0,S-0150;S-0154;S-0044,P-0006
P-0007,Heo Hwang-ok,PEOPLE,LEGENDARY,B1,,LEGENDARY (said to be from Ayuta; disputed: Ayodhya vs other readings),SPECULATIVE,,UNCERTAIN,2,0,S-0142;S-0151,P-0007
P-0008,Suro of Geumgwan Gaya,PEOPLE,LEGENDARY,B1,,"LEGENDARY (founder of Geumgwan Gaya, now Gimhae, Korea)",SPECULATIVE,,UNCERTAIN,2,0,S-0179;S-0153,P-0008
P-0009,Iryŏn,PEOPLE,CARRIED,B2,SEON_CHAN,KOREAN (Goryeo),HIGH,PRIMARY,INDIA_TO_KOREA,2,0,S-0123;S-0166,P-0009
