relation_family,node_id,node_label,node_type,degree,betweenness_undirected_projection,top_degree_5,top_betweenness_5
PERSON_INSTITUTION,TX-0010,The Lamp of the East (1929 message),TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,EV-0013,BBS Seon Meditation Tour 4 India-Nepal,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0002,Woncheuk,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0004,Jungto Society annual India pilgrimage program,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0034,Han Yong-un,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0013,Ariyabalma,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,P-0024,Naong Hyegeun,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,TX-0002,Haedong-so commentaries,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,EV-0019,Wang ocheonchukguk jeon first public display at National Museum of Korea,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0007,Chosŏn Pulgyo T'ongsa,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,I-0014,Bodh Gaya International College of Buddhist Studies,INSTITUTIONS,1,0.000000,0,0
PERSON_INSTITUTION,EV-0009,Bunhwangsa India dedication (대웅보전 준공식),EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0016,Chosŏn Pulgyo,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0018,Muso-yu,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0028,Yi Nŭng-hwa,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0076,Sitanshu Yashaschandra,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EP-0007,Pomnyun sunim (법륜 스님),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0018,Return of Hoeamsa relics (Jikong/Naong + Buddha relics) from Boston MFA,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0054,Jung Seung-suk,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,P-0014,Hyeeop,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,I-0015,Bunhwangsa India,INSTITUTIONS,1,0.000000,0,0
PERSON_INSTITUTION,EV-0016,Dongguk University - Nalanda University MOU,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0021,India and Korea Through the Ages,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0055,U Myeong-ju,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0003,Wŏnhyo,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0074,Muhak Chach'o,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,I-0022,Jogye Order of Korean Buddhism,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,EP-0002,Munjong sunim (문종 스님),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0017,Gubon,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0068,Sŏ Chŏng-ju,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,P-0075,Baegun Gyeonghan,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0016,Hyŏngak,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0026,International Buddhist Confederation (IBC),INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0001,Wang ocheonchukguk jeon,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0065,Gakseong (Ven.),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0021,Wonpyo,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0053,Lokesh Chandra,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0027,Korea Buddhism Promotion Foundation,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0020,Morning Calm and The Pensive Beyond,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,I-0012,University of Delhi,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,I-0002,Nalanda Mahavihara,INSTITUTIONS,3,7.000000,1,1
PERSON_INSTITUTION,TX-0012,Nim-ŭi Ch'immuk,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,I-0021,Bongnyeongsa,INSTITUTIONS,1,0.000000,0,0
PERSON_INSTITUTION,P-0052,Pŏpchŏng,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,EP-0001,Jeongbeom sunim (정범 스님),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0023,Dhyānabhadra,PEOPLE,2,6.000000,1,1
PERSON_INSTITUTION,P-0030,Rabindranath Tagore,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,TX-0029,Seong yusik non hakki,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,I-0003,Hoeamsa,INSTITUTIONS,2,4.000000,1,1
PERSON_INSTITUTION,P-0015,Hyŏnt'ae,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0020,Songgwangsa lineage,INSTITUTIONS,1,0.000000,0,0
PERSON_INSTITUTION,P-0001,Hyecho,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0007,Jogye pilgrimage to the 8 great sites + Nepal,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0022,Hyŏnyu,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0024,Jungto Society,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,P-0063,Hyoseok (Ven.),PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,P-0077,Ch'ukwŏn Chijŏn,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0012,KBPF 2026 India pilgrimage (Dharamsala/Ajanta-Ellora/Sanchi),EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0010,Hyeil (Silla esoteric monk),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0029,Ch'oe Nam-sŏn,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0071,Vinoba Bhave,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0051,Ko Un,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,TX-0019,Wookwan's Korean Temple Food,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0038,Mohandas Karamchand Gandhi,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0073,Hwang Su-yŏng,PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,P-0020,Ojin,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0025,Yeoraesunwon,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,EP-0010,"Korean Buddhist delegation (6 members, 국제불교문제연구소 파견)",PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0031,Nalanda University,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,I-0028,Buddhist Broadcasting System,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,P-0072,Yi Yŏng-jae,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0010,Global Buddhist Summit 2023,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,EV-0005,Delhi University - BGICBS academic MOU,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0028,Samguk Sagi,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,TX-0003,Samguk Yusa,TEXTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0018,Hyeryun,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0013,Pune University (SPPU),INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,EV-0015,Korean Buddhist delegation to India (국제불교문제연구소),EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,I-0010,Dongguk University,INSTITUTIONS,4,6.000000,1,1
PERSON_INSTITUTION,EP-0005,Jung Won-ju (정원주),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0004,Kyŏnghŭng,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0006,Jogye delegation pilgrimage Sarnath -> Bodh Gaya,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0005,T'aehyŏn,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0011,Gyeomik,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0064,Wookwan (Ven.),PEOPLE,1,0.000000,0,0
PERSON_INSTITUTION,I-0016,Mahayeon Temple Food Culture Center,INSTITUTIONS,1,0.000000,0,0
PERSON_INSTITUTION,P-0062,Buddhavara (Ven.),PEOPLE,2,1.000000,1,1
PERSON_INSTITUTION,EP-0004,Wonhaeng sunim (원행 스님),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EP-0008,Jugyeong sunim (주경 스님),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EV-0003,2nd Global Buddhist Summit,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,EP-0003,Jinwoo sunim (진우 스님),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0023,Sangwol Society,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,EV-0008,Bunhwangsa India groundbreaking,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,EV-0017,Enshrinement of Dhyānabhadra's relics at Hoeamsa,EVENTS,0,0.000000,0,0
PERSON_INSTITUTION,P-0006,Marananta,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EP-0009,Jang Jae-bok (장재복),PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,I-0030,International Buddhist Problems Research Institute,INSTITUTIONS,0,0.000000,0,0
PERSON_INSTITUTION,P-0009,Iryŏn,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,P-0012,Baedalta,PEOPLE,0,0.000000,0,0
PERSON_INSTITUTION,EP-0006,Abhijit Halder,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,TX-0010,The Lamp of the East (1929 message),TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0013,BBS Seon Meditation Tour 4 India-Nepal,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0002,Woncheuk,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0004,Jungto Society annual India pilgrimage program,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0034,Han Yong-un,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0013,Ariyabalma,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0024,Naong Hyegeun,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,TX-0002,Haedong-so commentaries,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0019,Wang ocheonchukguk jeon first public display at National Museum of Korea,EVENTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,TX-0007,Chosŏn Pulgyo T'ongsa,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0014,Bodh Gaya International College of Buddhist Studies,INSTITUTIONS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0009,Bunhwangsa India dedication (대웅보전 준공식),EVENTS,2,12.000000,0,1
INSTITUTION_EVENT_ORGANIZER,TX-0016,Chosŏn Pulgyo,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,TX-0018,Muso-yu,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0028,Yi Nŭng-hwa,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0076,Sitanshu Yashaschandra,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EP-0007,Pomnyun sunim (법륜 스님),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0018,Return of Hoeamsa relics (Jikong/Naong + Buddha relics) from Boston MFA,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0054,Jung Seung-suk,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0014,Hyeeop,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0015,Bunhwangsa India,INSTITUTIONS,2,7.000000,1,1
INSTITUTION_EVENT_ORGANIZER,EV-0016,Dongguk University - Nalanda University MOU,EVENTS,2,1.000000,1,0
INSTITUTION_EVENT_ORGANIZER,TX-0021,India and Korea Through the Ages,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0055,U Myeong-ju,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0003,Wŏnhyo,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0074,Muhak Chach'o,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0022,Jogye Order of Korean Buddhism,INSTITUTIONS,5,24.000000,1,1
INSTITUTION_EVENT_ORGANIZER,EP-0002,Munjong sunim (문종 스님),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0017,Gubon,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0068,Sŏ Chŏng-ju,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0075,Baegun Gyeonghan,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0001,Sangwol/Jogye walking pilgrimage India-Nepal,EVENTS,2,7.000000,0,1
INSTITUTION_EVENT_ORGANIZER,P-0016,Hyŏngak,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0026,International Buddhist Confederation (IBC),INSTITUTIONS,4,6.000000,1,1
INSTITUTION_EVENT_ORGANIZER,TX-0001,Wang ocheonchukguk jeon,TEXTS,0,0.000000,0,0
