network,metric,node_id,node_label,node_type,historical_band,value,note
A_FULL_DOCUMENTED,node_count,,,,,104,active non-legendary node universe
A_FULL_DOCUMENTED,incident_node_count,,,,,85,nodes touched by at least one edge
A_FULL_DOCUMENTED,edge_count,,,,,70,unweighted diagnostic edge count
A_FULL_DOCUMENTED,connected_component_count,,,,,38,undirected projection
A_FULL_DOCUMENTED,isolated_node_count,,,,,19,undirected projection
A_FULL_DOCUMENTED,node_type_count,,,EVENTS,,19,
A_FULL_DOCUMENTED,node_type_count,,,INSTITUTIONS,,19,
A_FULL_DOCUMENTED,node_type_count,,,PEOPLE,,53,
A_FULL_DOCUMENTED,node_type_count,,,TEXTS,,13,
A_FULL_DOCUMENTED,degree,EP-0001,Jeongbeom sunim (정범 스님),PEOPLE,,1,undirected projection
A_FULL_DOCUMENTED,betweenness,EP-0001,Jeongbeom sunim (정범 스님),PEOPLE,,0.000000,undirected projection; descriptive only
A_FULL_DOCUMENTED,degree,EP-0002,Munjong sunim (문종 스님),PEOPLE,,1,undirected projection
A_FULL_DOCUMENTED,betweenness,EP-0002,Munjong sunim (문종 스님),PEOPLE,,0.000000,undirected projection; descriptive only
A_FULL_DOCUMENTED,degree,EP-0003,Jinwoo sunim (진우 스님),PEOPLE,,1,undirected projection
A_FULL_DOCUMENTED,betweenness,EP-0003,Jinwoo sunim (진우 스님),PEOPLE,,0.000000,undirected projection; descriptive only
A_FULL_DOCUMENTED,degree,EP-0004,Wonhaeng sunim (원행 스님),PEOPLE,,1,undirected projection
A_FULL_DOCUMENTED,betweenness,EP-0004,Wonhaeng sunim (원행 스님),PEOPLE,,0.000000,undirected projection; descriptive only
A_FULL_DOCUMENTED,degree,EP-0005,Jung Won-ju (정원주),PEOPLE,,1,undirected projection
A_FULL_DOCUMENTED,betweenness,EP-0005,Jung Won-ju (정원주),PEOPLE,,0.000000,undirected projection; descriptive only
A_FULL_DOCUMENTED,degree,EP-0006,Abhijit Halder,PEOPLE,,2,undirected projection
A_FULL_DOCUMENTED,betweenness,EP-0006,Abhijit Halder,PEOPLE,,1.000000,undirected projection; descriptive only
A_FULL_DOCUMENTED,degree,EP-0007,Pomnyun sunim (법륜 스님),PEOPLE,,1,undirected projection
