metric,value,scope,node_type,historical_band,node_id,note
node_count,104,ALL,,,,canonical + event-participant nodes; legendary excluded
edge_count,70,ALL,,,,"unweighted, non-legendary primary graph"
isolated_node_count,19,ALL,,,,no explicit primary-network edge
node_type_count,19,ALL,EVENTS,,,
node_type_count,19,ALL,INSTITUTIONS,,,
node_type_count,53,ALL,PEOPLE,,,
node_type_count,13,ALL,TEXTS,,,
edge_type_count,2,ALL,,,,INDIRECT_INFLUENCE
edge_type_count,49,ALL,,,,INSTITUTIONAL
edge_type_count,8,ALL,,,,PERSON_ENCOUNTER
edge_type_count,11,ALL,,,,TEXTUAL_TRANSMISSION
direction_count,22,ALL,,,,INSTITUTION_TO_EVENT
direction_count,13,ALL,,,,PERSON_TO_EVENT
direction_count,14,ALL,,,,PERSON_TO_INSTITUTION
direction_count,11,ALL,,,,PERSON_TO_TEXT
direction_count,2,ALL,,,,UNCERTAIN
direction_count,8,ALL,,,,UNDIRECTED
node_count,22,BAND,,B1,,
edge_count,7,BAND,,B1,,
node_count,10,BAND,,B2,,
edge_count,9,BAND,,B2,,
node_count,0,BAND,,B3,,
edge_count,0,BAND,,B3,,
node_count,10,BAND,,B4,,
edge_count,7,BAND,,B4,,
node_count,9,BAND,,B5,,
edge_count,6,BAND,,B5,,
node_count,43,BAND,,B6,,
edge_count,41,BAND,,B6,,
degree,1,NODE,PEOPLE,,EP-0001,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0001,
degree,1,NODE,PEOPLE,,EP-0002,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0002,
degree,1,NODE,PEOPLE,,EP-0003,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0003,
degree,1,NODE,PEOPLE,,EP-0004,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0004,
degree,1,NODE,PEOPLE,,EP-0005,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0005,
degree,2,NODE,PEOPLE,,EP-0006,
betweenness_undirected_projection,1.000000,NODE,PEOPLE,,EP-0006,
degree,1,NODE,PEOPLE,,EP-0007,
betweenness_undirected_projection,0.000000,NODE,PEOPLE,,EP-0007,
degree,1,NODE,PEOPLE,,EP-0008,
