table,record_id,label,buddhist_relevance,scope,period_band,connection_type,movement_status,exchange_types,rationale
PEOPLE,P-0001,Hyecho,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,visited,RELIGIOUS;LITERARY;INTELLECTUAL,Core record: Silla pilgrim-monk; Wang ocheonchukguk jeon is the primary 8th-c. source on India
PEOPLE,P-0002,Woncheuk,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),TEXTUAL_TRANSMISSION,-,RELIGIOUS;INTELLECTUAL,Silla Yogacara master; India link via Indian doctrine studied in Chang'an (no travel)
PEOPLE,P-0003,Wŏnhyo,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),TEXTUAL_TRANSMISSION,-,RELIGIOUS;INTELLECTUAL,Silla philosopher; commentaries on Indian-origin texts (Awakening of Faith)
PEOPLE,P-0004,Kyŏnghŭng,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),TEXTUAL_TRANSMISSION,-,RELIGIOUS;INTELLECTUAL,Silla exegete of Indian sutra heritage (Pure Land / Golden Light commentaries)
PEOPLE,P-0005,T'aehyŏn,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),TEXTUAL_TRANSMISSION,-,RELIGIOUS;INTELLECTUAL,Silla Yogacara commentator (Cheng Weishi Lun lineage)
PEOPLE,P-0006,Marananta,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT; INSTITUTIONAL,worked,RELIGIOUS,Earliest documented Buddhist arrival in Korea (384 CE); founder of Baekje Buddhism
PEOPLE,P-0007,Heo Hwang-ok,CONTEXTUAL,CONTEXT,B1 Ancient/early-medieval (<900),LEGENDARY,legendary,CULTURAL;RELIGIOUS,Legendary queen from 'Ayuta'; non-Buddhist cultural narrative (context row)
PEOPLE,P-0008,Suro of Geumgwan Gaya,CONTEXTUAL,CONTEXT,B1 Ancient/early-medieval (<900),LEGENDARY,-,CULTURAL,Legendary founder-king; non-Buddhist (context row)
PEOPLE,P-0009,Iryŏn,PRIMARY,KEEP,B2 Silla/Goryeo (900-1392),TEXTUAL_TRANSMISSION,-,RELIGIOUS;LITERARY;INTELLECTUAL,Seon monk-historian; Samguk Yusa preserves the early Buddhist traditions
PEOPLE,P-0010,Hyeil (Silla esoteric monk),PRIMARY,KEEP,B1 Ancient/early-medieval (<900),TEXTUAL_TRANSMISSION,-,RELIGIOUS,Esoteric master; Amoghavajra-lineage transmission to Silla
PEOPLE,P-0011,Gyeomik,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,studied,RELIGIOUS;LINGUISTIC;INTELLECTUAL,Baekje Vinaya master; documented sea pilgrimage to Central India 526-531; 5 yrs Sanskrit at Sangana
PEOPLE,P-0012,Baedalta,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,worked,RELIGIOUS,Indian Tripitaka master resident in Baekje (531); bearer of Sanskrit texts
PEOPLE,P-0013,Ariyabalma,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,studied,RELIGIOUS;INTELLECTUAL,Silla monk at Nalanda (Yijing record)
PEOPLE,P-0014,Hyeeop,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS;INTELLECTUAL,Silla monk at Bodh Gaya/Nalanda (Yijing record)
PEOPLE,P-0015,Hyŏnt'ae,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Silla pilgrim to India (Yijing record)
PEOPLE,P-0016,Hyŏngak,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Silla monk who died at Bodh Gaya (Yijing record)
PEOPLE,P-0017,Gubon,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Silla pilgrim to India (Yijing record)
PEOPLE,P-0018,Hyeryun,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,Silla monk in Yijing's India network (identification debated)
PEOPLE,P-0020,Ojin,PRIMARY,KEEP,B1 Ancient/early-medieval (<900),PHYSICAL_MOVEMENT,visited,RELIGIOUS,"Esoteric monk; reached Central India, died in Tibet"
