link_id,person_id,place_id,link_type,year,confidence,notes
L-0001,P-0001,PL-0001,BIRTH,700,HIGH,Born in Silla
L-0002,P-0001,PL-0016,VISITED,723,HIGH,Departed Guangzhou by sea
L-0003,P-0001,PL-0018,VISITED,727,HIGH,Travelogue ends at Kucha
L-0004,P-0002,PL-0015,WORKED,627,HIGH,"Ximing Monastery, Chang'an"
L-0005,P-0003,PL-0001,BIRTH,617,HIGH,
L-0006,P-0006,PL-0002,VISITED,384,HIGH,Arrival in Baekje
L-0007,P-0007,PL-0007,LEGENDARY_ORIGIN,48,SPECULATIVE,Legendary origin in Ayuta/Ayodhya
L-0008,P-0007,PL-0003,RESIDENCE,48,SPECULATIVE,Legendary queenship in Gaya
L-0009,P-0008,PL-0003,RESIDENCE,42,SPECULATIVE,Legendary founding king
L-0010,P-0011,PL-0012,STUDIED,526,MEDIUM,"Sangana monastery, 5 years"
L-0011,P-0013,PL-0009,STUDIED,650,MEDIUM,Nalanda
L-0012,P-0023,PL-0009,STUDIED,1289,MEDIUM,Ordained at Nalanda
L-0013,P-0023,PL-0005,VISITED,1326,MEDIUM,Goryeo visit; founded Hoeamsa
L-0014,P-0025,PL-0006,RESIDENCE,1563,HIGH,Joseon
L-0015,P-0030,PL-0023,VISITED,1916,HIGH,Japan visits 1916-1929
L-0016,P-0030,PL-0024,VISITED,1929,HIGH,Never travelled to Korea - planned 1929 visit cancelled (note: NOT visited)
L-0017,P-0042,PL-0024,VISITED,1948,HIGH,UNTCOK sessions
L-0018,P-0043,PL-0026,VISITED,1953,HIGH,NNRC chairmanship
L-0019,P-0044,PL-0026,VISITED,1953,HIGH,ICF command
L-0020,P-0046,PL-0025,VISITED,1950,MEDIUM,Arrival at Busan
L-0021,P-0047,PL-0024,WORKED,1974,MEDIUM,First Indian ambassador in Seoul
L-0022,P-0048,PL-0027,WORKED,1974,MEDIUM,First ROK ambassador in New Delhi
L-0023,P-0049,PL-0027,VISITED,1994,HIGH,Racer launch
L-0024,P-0052,PL-0027,VISITED,1971,HIGH,Vinoba Bhave ashram visit
L-0025,P-0053,PL-0024,VISITED,2016,HIGH,Lotus Sutra exhibition
L-0026,P-0055,PL-0013,STUDIED,2001,HIGH,Delhi University
L-0027,P-0057,PL-0024,WORKED,,HIGH,AKS professor
L-0028,P-0058,PL-0024,STUDIED,2002,HIGH,SNU PhD
L-0029,P-0061,PL-0024,STUDIED,,HIGH,SNU MA
L-0030,P-0062,PL-0010,WORKED,,MEDIUM,"Bunhwangsa India, Bodh Gaya"
L-0031,P-0063,PL-0014,STUDIED,,HIGH,Pune University
L-0032,P-0064,PL-0013,STUDIED,,HIGH,Delhi University
L-0033,P-0065,PL-0013,STUDIED,1992,HIGH,Delhi University 1992-1998
L-0034,P-0030,PL-0027,BIRTH,1861,HIGH,Born in Calcutta (now Kolkata)
L-0035,P-0073,PL-0009,VISITED,1962,HIGH,Nalanda survey during 1962-63 India fieldwork
