link_id,person_id,text_id,link_type,confidence,notes
L-0101,P-0001,TX-0001,AUTHOR,HIGH,
L-0102,P-0003,TX-0002,AUTHOR,HIGH,
L-0103,P-0009,TX-0003,AUTHOR,HIGH,
L-0104,P-0025,TX-0004,AUTHOR,HIGH,
L-0105,P-0026,TX-0005,AUTHOR,HIGH,
L-0106,P-0027,TX-0006,AUTHOR,HIGH,
L-0107,P-0028,TX-0007,AUTHOR,HIGH,
L-0108,P-0030,TX-0008,AUTHOR,HIGH,
L-0109,P-0030,TX-0009,AUTHOR,HIGH,
L-0110,P-0030,TX-0010,AUTHOR,HIGH,
L-0111,P-0030,TX-0011,AUTHOR,HIGH,
L-0112,P-0034,TX-0012,AUTHOR,HIGH,
L-0113,P-0032,TX-0013,TRANSLATOR,HIGH,Kim Ŏk's Korean translation of Tagore's Gitanjali (1921)
L-0114,P-0033,TX-0014,TRANSLATOR,HIGH,Jeong Ji-yong's Hwimun (휘문) Gitanjali translation
L-0115,P-0036,TX-0015,TRANSLATOR,HIGH,Chu Yo-han's 4-line Tagore translation
L-0116,P-0029,TX-0016,AUTHOR,HIGH,
L-0117,P-0035,TX-0017,AUTHOR,HIGH,
L-0118,P-0052,TX-0018,AUTHOR,HIGH,
L-0119,P-0064,TX-0019,AUTHOR,HIGH,
L-0120,P-0053,TX-0020,AUTHOR,HIGH,
L-0121,P-0061,TX-0021,AUTHOR,HIGH,
L-0122,P-0066,TX-0022,TRANSLATOR,HIGH,Divik Ramesh's translation of 'The day breaks O! India'
L-0123,P-0066,TX-0023,TRANSLATOR,HIGH,Divik Ramesh's translation in 'Korean Poetry - Journey'
L-0124,P-0056,TX-0024,AUTHOR,HIGH,
L-0125,P-0056,TX-0025,TRANSLATOR,HIGH,Lee Jeong-ho's Korean translation of Bhisham Sahni's Tamas
L-0126,P-0056,TX-0026,AUTHOR,HIGH,
L-0127,P-0006,TX-0028,SUBJECT,HIGH,Marananta recorded in Samguk Sagi
L-0128,P-0007,TX-0003,SUBJECT,HIGH,Heo Hwang-ok legend in Samguk Yusa
L-0129,P-0008,TX-0003,SUBJECT,HIGH,Suro in Samguk Yusa
L-0130,P-0006,TX-0003,SUBJECT,HIGH,Marananta in Samguk Yusa
L-0131,P-0005,TX-0029,AUTHOR,HIGH,
L-0132,P-0030,TX-0011,SUBJECT,HIGH,Tagore as author of Song of the Defeated
