travel_id,person_id,origin_place_id,destination_place_id,intermediate_place_ids,travel_start_year,travel_end_year,travel_dates_precision,purpose,route_description,evidence,confidence,notes
T-0001,P-0001,PL-0016,PL-0018,PL-0008;PL-0011;PL-0020;PL-0019,719,727,APPROX,PILGRIMAGE,Guangzhou (sea) -> Five Indias -> Persia (Nishapur) -> overland via Pamir/Central Asia -> Kucha (Nov 727),Wang ocheonchukguk jeon; scholarly reconstructions (dates conflict 719-727 vs 723-727),HIGH,Dates conflict across sources; recorded in his own travelogue
T-0002,P-0006,PL-0030,PL-0002,,384,384,YEAR,MISSIONARY,From Eastern Jin territory to Baekje by sea (384 CE),Samguk Sagi; Samguk Yusa,MEDIUM,No detailed itinerary preserved
T-0003,P-0011,PL-0002,PL-0012,PL-0030,526,531,YEAR,PILGRIMAGE,"Baekje -> (sea) -> Central India (Sangana monastery, 5 yrs Sanskrit study) -> (sea) -> Baekje 531",Korean Buddhist tradition (Samguk Yusa & later compilations),MEDIUM,Returned with Indian monk Baedalta
T-0004,P-0012,PL-0012,PL-0002,,531,531,YEAR,MISSIONARY,"India -> Baekje by sea, 531 (with Gyeomik)",Same tradition as Gyeomik,MEDIUM,
T-0005,P-0013,PL-0001,PL-0009,PL-0015,,,UNKNOWN,PILGRIMAGE,Silla -> Chang'an -> Nalanda; died at Nalanda aged 70+,Yijing's Da Tang Xiyu qiufa gaoseng zhuan,MEDIUM,Dates not recorded
T-0006,P-0014,PL-0001,PL-0010,PL-0015;PL-0009,,,UNKNOWN,PILGRIMAGE,"Silla -> India (Bodhgaya, Nalanda); died in India",Yijing's record,MEDIUM,
T-0007,P-0015,PL-0001,PL-0015,PL-0009,,,UNKNOWN,PILGRIMAGE,Silla -> India -> Tang; died in China,Yijing's record,MEDIUM,
T-0008,P-0016,PL-0001,PL-0010,,,,UNKNOWN,PILGRIMAGE,Silla -> India with Xuanzhao (Zhenguan era); died at Bodhgaya in 40s,Yijing's record,MEDIUM,
T-0009,P-0017,PL-0001,PL-0009,,,,UNKNOWN,PILGRIMAGE,Silla -> India,Yijing's record,MEDIUM,
T-0010,P-0020,PL-0001,PL-0021,PL-0015,789,789,APPROX,PILGRIMAGE,Silla -> Tang -> Central India -> Tibet (death),KCI scholarship (Ko Young-seop); EncyKorea 밀교,MEDIUM,Went to Tang with Hyeil (c. 789)
T-0011,P-0021,PL-0001,PL-0015,,742,765,APPROX,PILGRIMAGE,Silla -> Tang -> India -> Tang (death in China),KCI scholarship (Ko Young-seop),MEDIUM,King Gyeongdeok era
T-0012,P-0022,PL-0004,PL-0022,,,,UNKNOWN,PILGRIMAGE,Goguryeo -> (via China) -> Sri Lanka; ordained there,KCI scholarship (Ko Young-seop),MEDIUM,Followed Chinese monk Sengche
T-0013,P-0023,PL-0009,PL-0005,PL-0021;PL-0017,1326,1363,YEAR,MISSIONARY,Magadha -> (Tibet) -> Yuan China -> Goryeo (1326) -> Yuan China; died 1363,Hagiographical + scholastic records,MEDIUM,Founded Hoeamsa 1328; relics sent to Goryeo
T-0014,P-0030,PL-0027,PL-0023,,1916,1929,YEAR,OTHER,India -> Japan (5 visits 1916-1929); Tokyo/Yokohama meetings with Koreans; Korea lecture planned June 1929 cancelled,Hong Eun-taek; kyosu.net; koreatimes,HIGH,NEVER travelled to Korea (physically_traveled=NO)
T-0015,P-0031,PL-0001,PL-0023,,1916,1916,YEAR,STUDY,Korea -> Japan (Tokyo/Yokohama 1916),kyosu.net; koreatimes,MEDIUM,Met Tagore at Yokohama
T-0016,P-0029,PL-0001,PL-0023,,1916,1916,YEAR,STUDY,Korea -> Japan (Tokyo 1916),budreview; EncyKorea,HIGH,Met Tagore at Imperial University lecture
T-0017,P-0042,PL-0027,PL-0024,,1947,1948,YEAR,DIPLOMATIC,"India -> Korea (UNTCOK chairman, election supervision 1947-48)",NYT 1948; UN Digital Library,HIGH,Led to founding of the Republic of Korea
