participant_id,name,hangul,role_hint,notes
EP-0001,Jeongbeom sunim (정범 스님),정범,REPRESENTATIVE,"Jogye 해외특별교구 교구장 직무대행 (acting head, overseas special diocese); attended GBS 2023 as official representative on behalf of 총무원장 (hyunbulnews_gbs2023)"
EP-0002,Munjong sunim (문종 스님),문종,REPRESENTATIVE,Jogye 국제교류위원/제전법단장 (international exchange committee member / propagation team head); attended 2nd GBS 2026 as representative of 총무원장 Jinwoo (tongbulgyo_gbs2026)
EP-0003,Jinwoo sunim (진우 스님),진우,MONASTIC_LEADER,Jogye 총무원장 (supreme patriarch); congratulatory message read aloud at 2nd GBS 2026 by Munjong; represented at GBS 2023 by Jeongbeom (tongbulgyo_gbs2026; hyunbulnews_gbs2023)
EP-0004,Wonhaeng sunim (원행 스님),원행,DELEGATION_LEADER,"Jogye 총무원장; led the 150-person official delegation to the Bunhwangsa India dedication, May 2022 (hyunbulnews_bunhwangsa_2022)"
EP-0005,Jung Won-ju (정원주),정원주,HOST,"President, Lay Buddhist Association of the Jogye Order; received the IBC Buddha statue at Bexpo 2026 (koreaherald_bexpo2026)"
EP-0006,Abhijit Halder,,ORGANIZER,"Director General, International Buddhist Confederation; presented the Buddha statue at Bexpo 2026; spoke at ICYBS 2025 (koreaherald_bexpo2026; ibcworld_icybs2025)"
EP-0007,Pomnyun sunim (법륜 스님),법륜,MONASTIC_LEADER,Jungto Society founder; leads the annual India pilgrimage program (jungto_india)
EP-0008,Jugyeong sunim (주경 스님),주경,REPRESENTATIVE,"Jogye 중앙종회의장 (chair, Central Council); represented the order at the Korea-India 50th anniversary cultural exchange, 21 Mar 2023 (ibulgyo_jogye50th_2023)"
EP-0009,Jang Jae-bok (장재복),장재복,HOST,ROK Ambassador to India; hosted the temple-food dinner at the ambassador's residence; praised the Sangwol pilgrimage for strengthening bilateral ties (ibulgyo_jogye50th_2023)
EP-0010,"Korean Buddhist delegation (6 members, 국제불교문제연구소 파견)",(대표단 6명),PARTICIPANT,"Members unnamed in Dong-A 1982-01-19; dispatched by the International Buddhist Problems Research Institute (director 소장 김광태); toured Indian sacred sites, met PM Indira Gandhi, donated a Tripitaka Koreana facsimile at Nalanda; agreed Kelaniya-Bongeunsa sisterhood in Sri Lanka (donga_delegation_1982)"
