person_id,full_name,name_variants,korean_name_hangul,korean_name_hanja,indian_local_name_variants,birth_year,birth_date_precision,death_year,death_date_precision,nationality_region,period,profession_role,religious_affiliation,institution_org,india_connection,korea_connection,relationship_type,physically_traveled,travel_summary,direction_of_influence,exchange_types,evidence_of_influence,historical_significance,confidence,notes,data_entry_date,status,source_ids
P-0001,Hyecho,Hye-ch'o; Huichao; Hye Ch'o; 慧超; 惠超,혜초,慧超,,704,APPROX,787,APPROX,KOREAN (Silla),ANCIENT,Buddhist monk; pilgrim; translator,Buddhism (Esoteric/Vajrayana; disciple of Vajrabodhi and Amoghavajra),Juefu Temple (Chang'an); Dryuan Puti Temple (Mt Wutai),"Pilgrimage to the Five Indias c. 723-727 (sea out via Guangzhou, land back via Central Asia/Persia); visited Kushinagara, Varanasi, Rajagrha, Bodhgaya, Lumbini, Kashmir, Gandhara",Silla-born; never returned to Korea; active in Tang; among Amoghavajra's six great disciples; later in Japanese Shingon lineage,DIRECT,YES,"Departed Guangzhou by sea (c. 719 or 723); toured the Five Indias; reached Nishapur (Persia); returned overland via Pamir/Central Asia; account ends at Kucha, Nov 727",BIDIRECTIONAL,RELIGIOUS;LITERARY;INTELLECTUAL,"Wang ocheonchukguk jeon (往五天竺國傳), the sole surviving 8th-c. East Asian record of India/Central Asia; Dunhuang ms. (Pelliot 1908), Bibliothèque nationale de France",First Korean recorded to have travelled to India by sea and returned overland leaving a written record; 'world's oldest of the four great travelogues' per Korean scholarship,HIGH,"Travel dates conflict across sources (719-727 vs 723-727/728; '730경' per our-history-net). Standard Korean dates 704-787 (Korean Wikipedia, NIKH-adjacent sources, 인천in); birth c. 700 / death 780 appear in older scholarship - kept as variant. Author identification with Amoghavajra's Silla disciple is scholarly consensus (Takakusu).",2026-08-16,VERIFIED,S-0048;S-0039;S-0137;S-0095;S-0104;S-0105
P-0002,Woncheuk,Wŏnch'ŭk; Wonchuk; Wuan-tshe (Tibetan); Ximing dashi; 圓測,원측,圓測,,613,YEAR,696,YEAR,KOREAN (Silla),ANCIENT,Buddhist monk; Yogacara scholar; abbot,Buddhism (East Asian Yogacara/Cittamatra),"Ximing Monastery (西明寺), Chang'an",Studied Indian Yogacara doctrine (Vasubandhu's texts) via Xuanzang's translations in Chang'an; never travelled to India,Silla royal family (grandson of King Chinp'yong per some accounts); ordained at 15 in Silla before going to Tang,INDIRECT,NO,NULL (Silla->Tang c. 627 only; lived in Chang'an),INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,"Commentaries (e.g., on Samdhinirmocana-sutra) studied and quoted in Tibetan doxographies; long-standing rivalry with Kuiji",One of the most influential Silla monks in Tang China; his works transmitted to Tibet,HIGH,Dates 613-696 per John Powers (JIABS); some accounts differ slightly.,2026-08-16,VERIFIED,S-0149;S-0051
P-0003,Wŏnhyo,Wonhyo; Wŏn-hyo; 元曉; Haedong bosal; 'Jinna bosal' epithet in China,원효,元曉,,617,YEAR,686,YEAR,KOREAN (Silla),ANCIENT,Buddhist philosopher-monk; author; popularizer; founder of Haedongjong,Buddhism (Hwaeom/Huayan and broader Mahayana),Hwangnyongsa milieu; Haedongjong lineage,"Deeply studied Indian-origin texts, esp. the Awakening of Faith (attributed to Asvaghosa); wrote famous Haedong-so commentaries; legend of an aborted trip to Tang/India",Silla native; tutored many Silla monks; works transmitted to Tang and Japan,INDIRECT,NO,"Legend (hagiography): while travelling to Tang with Ŭisang, awakened overnight in a cave ('mind only') and never went abroad; no India journey recorded",INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,Haedong-so commentaries studied in Tang/Japan; called 'Jinna bosal' in China (equated with Indian logician Dignaga); T'ong pulgyo synthesis,Korea's greatest Buddhist philosopher; synthesized Indian/Chinese Buddhist thought for Korea,HIGH,"Person and works verified; the cave legend is traditional hagiography. Relationship to India is intellectual, not physical.",2026-08-16,VERIFIED,S-0001;S-0049;S-0038
P-0004,Kyŏnghŭng,Gyeongheung; 憬興; Su Kyŏnghŭng,경흥,憬興,,,UNKNOWN,,UNKNOWN,"KOREAN (Silla; born Ungcheon, former Baekje territory)",ANCIENT,Buddhist monk; commentator; one of Silla's 'Three/Four Great Writers',Buddhism (specialized in Pure Land/Amitabha commentary),Samrangsa (三郎寺); made Kukro (national elder) by King Sinmun,Authored commentaries on Indian-derived sutras (Three Pure Land sutras incl. the Smaller Sukhavativyuha; Golden Light Sutra) without travelling to India,Silla monk under King Sinmun (r. 681-692); works survive via Japanese holdings,INDIRECT,NO,NULL,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,"Sam Mireukgyeong so (三彌勒經疏) and Muryangsugyong yonuisulmunchan survive; the latter long studied in Japan; ~40 works recorded, 3 extant",Major Silla exegete of Indian Buddhist scriptural heritage; bridge from Baekje-refugee traditions into Unified Silla scholarship,MEDIUM,Exact dates unrecorded; ordained at 18; lived during King Sinmun's reign.,2026-08-16,VERIFIED,S-0037;S-0160
P-0005,T'aehyŏn,Taehyon; Tae-hyŏn; 太賢; 大賢,태현,太賢,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Buddhist monk; Yogacara commentator; one of Silla's Four Great Writers,Buddhism (Yogacara; later revered as founder of Goryeo Yugajong),"Yongjangsa Temple, Namsan (Gyeongju)",Commented on Xuanzang/Dharmapala-derived Cheng Weishi Lun (Indian Yogacara thought); no India travel,"Silla monk; 52 works recorded, 5 extant",INDIRECT,NO,NULL,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,Seong yusik non hakki (成唯識論學記) and Daeseung gisillon naeui yaktamgi (Awakening of Faith commentary); Beommanggyeong gojeokki (Brahma's Net Sutra),Key Silla interpreter of Indian-origin Yogacara texts; foundational figure claimed by early Goryeo Yugajong,MEDIUM,Dates approximate; placed in King Gyeongdeok's reign (742-765) by tradition; some scholars date him later.,2026-08-16,VERIFIED,S-0046;S-0161
P-0006,Marananta,Mallananda; 摩羅難陀; 摩羅難陁,마라난타,摩羅難陀,,,UNKNOWN,,UNKNOWN,UNCERTAIN (Western Regions/Serindia; some scholars argue Indian; came via Eastern Jin China),ANCIENT,Buddhist monk ('foreign monk' 胡僧),Buddhism,"First Baekje temple (Hansan, 385 CE)","If Indian (per some scholars, e.g., Lee Sang-ho 1960), the first Indian Buddhist to reach Korea; at minimum connected to Indian Buddhism via Central Asian monastic networks of the Jin period","Arrived Baekje 384 (9th month, King Chimnyu's 1st year); received by the king; Buddhism 'began from this' (Samguk Sagi); temple built 385",DIRECT,YES,"Came from Eastern Jin territory to Baekje by sea, 384 CE; no detailed itinerary preserved",INDIA_TO_KOREA,RELIGIOUS,Samguk Sagi (sg_024r_0100_0030) and Samguk Yusa records; both mark 384 as the start of Baekje Buddhism,Traditional founder of Baekje Buddhism; earliest documented Buddhist arrival in Korean history,MEDIUM,Origin debated: db.history.go.kr (Samguk Sagi) notes '흔히 서역 출신으로 추정' with a minority view identifying him as an Indian monk (이상호 1960); encykorea describes him as '인도의 승려' (Gandhara-born per en-wiki); arrived via Eastern Jin. Sanskrit reconstruction of the name not attested in sources.,2026-08-16,VERIFIED,S-0150;S-0154;S-0044
P-0007,Heo Hwang-ok,Hŏ Hwang-ok; Huh Hwang-ok; 許黃玉; Queen of Suro of Geumgwan Gaya,허황옥,許黃玉,"(legendary) from 'Ayuta' (아유타), often equated with Ayodhya, India",,UNKNOWN,,UNKNOWN,LEGENDARY (said to be from Ayuta; disputed: Ayodhya vs other readings),ANCIENT,Queen consort of King Suro of Geumgwan Gaya (legendary),None recorded,Geumgwan Gaya state,"Legend: came by ship from Ayuta (often equated with Ayodhya, India) in 48 CE bearing gifts (twin-fish symbols); married King Suro",Ancestress of the Gaya Heo clan; tomb at Gimhae royal tombs; centre of modern India-Korea memory culture,UNCERTAIN,UNCERTAIN,Legendary sea voyage from Ayuta in 48 CE; no contemporary record beyond Samguk Yusa/Garakguk-gi tradition (compiled centuries later),UNCERTAIN,CULTURAL;RELIGIOUS,"Samguk Yusa (Garakguk-gi) narrative; modern movements (Kim Byung-mo's Ayodhya/twin-fish thesis) vs scholarly skepticism (Mohan, Kim Tae-sik: narrative reworked in Middle Silla/Goryeo)",Symbol of India-Korea relations; also the most contested India-Korea connection - flagged as legend with historiographical caveats,SPECULATIVE,"Scholarly debate: Kim Byung-mo's Ayodhya thesis vs Mohan/Kim Tae-sik skepticism (Goryeo-era narrative reworking); 'brother Jangyoo Hwasang' myth is a later addition (Ko Il-hong, SNU).",2026-08-16,LEGENDARY,S-0142;S-0151
P-0008,Suro of Geumgwan Gaya,King Suro; Kim Suro; 首露王; 金首露,수로왕,首露王,,,UNKNOWN,,UNKNOWN,"LEGENDARY (founder of Geumgwan Gaya, now Gimhae, Korea)",ANCIENT,King (legendary founder),None (legend predates Buddhism),Geumgwan Gaya confederacy,"Legendary: married Heo Hwang-ok, said to be from 'Ayuta' (often read as Ayodhya, India); six-egg origin myth",Ancestor figure of the Gimhae Kim clan,UNCERTAIN,NO,Legend only; no physical journey recorded for Suro himself (the 'travel' is his legendary wife's); narrative survives via Garakguk-gi in Samguk Yusa,UNCERTAIN,CULTURAL,Same corpus as Heo Hwang-ok; modern India ties derive from the marriage legend,Founder-king of Geumgwan Gaya; central to the Ayodhya-connection myth debates,SPECULATIVE,No contemporary record; Samguk Yusa (13th c.) is the earliest source via Garakguk-gi. Legendary reign 42-199 CE.,2026-08-16,LEGENDARY,S-0179;S-0153
P-0009,Iryŏn,Il-yeon; Ilyon; Ichinen (Japanese); 一然; born Kim Gyeon-myeong,일연,一然,,1206,YEAR,1289,YEAR,KOREAN (Goryeo),MEDIEVAL,Buddhist monk; historian; author,Buddhism (Seon),Inheungsa; Unmunsa; posthumous title Bogak Guksa,"Compiled the Samguk Yusa (三國遺事, c. 1283-1287), the primary medieval Korean source preserving the Marananta, Gyeomik, Heo Hwang-ok and Suro traditions about Indian contact",Goryeo monk; author of Korea's most important historical compendium after Kim Busik's Samguk Sagi,MEDIATED,NO,NULL,INDIA_TO_KOREA,RELIGIOUS;LITERARY;INTELLECTUAL,Samguk Yusa is the source for most legendary India-Korea traditions studied today,Sole compiler of many early India-Korea narratives; critical for the Marananta/Heo Hwang-ok/Suro historiography,HIGH,Wrote ~80 volumes; only Samguk Yusa survives.,2026-08-16,VERIFIED,S-0123;S-0166
P-0010,Hyeil (Silla esoteric monk),惠日; C. Huiri,혜일,惠日,,,UNKNOWN,,UNKNOWN,KOREAN (Silla),ANCIENT,Buddhist monk; Esoteric (Milgyo) master,Buddhism (Esoteric/Vajrayana); disciple of Amoghavajra (705-774),Tang (Chang'an) milieu; 'Six Disciples of Amoghavajra' orbit,Inherited Indian-origin esoteric teaching of Amoghavajra; introduced to Silla the Buddha-Usnisa Dharani tradition,"Carried Amoghavajra-lineage Vajrayana back to Silla (King Wonseong era, c. 789)",INDIRECT,NO,NULL (Silla->Tang->Silla; no India travel recorded),INDIA_TO_KOREA,RELIGIOUS,KCI scholarship traces Goryeo Buddha-Usnisa practice halls to the Bukong->Hyeil lineage; EncyKorea '밀교' lists Silla 惠日 among esoteric monks,Key conduit of Indian-origin esoteric Buddhism to late Silla,MEDIUM,"DO NOT confuse with (a) Goryeo Hwaeom monk Gyeoleung (courtesy name 慧日), (b) late-Goryeo Jeju poet-monk 慧日, or (c) a Japanese monk 惠日 (623).",2026-08-16,VERIFIED,S-0098;S-0045
