source_id,source_key,citation,source_type,url,archive_database,accessed_date,reliability,notes
S-0001,acmuller_wonhyo,"A. Charles Muller, article on Wonhyo/Chinul/Kihwa",SECONDARY,http://www.acmuller.net/articles/1995-03-kiyo-wonhyo-chinul-kihwa.html,acmuller.net (academic),2026-08-16,ACADEMIC,
S-0002,aks_pankaj,"AKS CEFIA Wiki, 'Pankaj Mohan (한국학대학원 교수)'",WEBSITE,https://dh.aks.ac.kr/~cefia/wiki/index.php/Pankaj_Mohan_(한국학대학원_교수),Academy of Korean Studies,2026-08-16,INSTITUTIONAL,
S-0003,aks_yineunghwa,"AKS People DB, '이능화'",ARCHIVAL,http://people.aks.ac.kr/front/dirSer/ppl/pplView.aks?pplId=PPL_7HIL_A1869_1_0009236,Academy of Korean Studies People DB,2026-08-16,AUTHORITATIVE,
S-0004,amazon_morningcalm,"Lokesh Chandra, 'Morning Calm and The Pensive Beyond - Cultural Interflow Between India and Korea' (Aditya Prakashan, 2019), ISBN 978-8194085034",SECONDARY,https://www.amazon.com/Morning-Pensive-Beyond-Cultural-Interflow/dp/8194085039,Amazon listing,2026-08-16,INSTITUTIONAL,
S-0005,archive_tongsa,"Yi Nŭng-hwa, Chosŏn Pulgyo T'ongsa (1918), Internet Archive scan",PRIMARY,https://archive.org/details/12chosnpulgyotongs8800uoft,Internet Archive,2026-08-16,AUTHORITATIVE,
S-0006,atlasnews_silleuksa_2025,"Atlas News 2025-12-31: '여주 신륵사, 불심이 강물 같이 흐른다' - Silleuksa feature documenting the Jikong-Naong-Muhak Seon lineage (삼대화상); Jikong's 2y7m stay in Goryeo (until 1328-09); his disciples incl. Baegun Gyeonghan (1298-1374), Muhak Chach'o (1327-1405), Ch'ukwŏn Chich'ŏn (1324-1395); Jahyeon's 2017 monograph on Jikong; decline of Jikong's status after the Injo restoration",NEWS,http://www.atlasnews.co.kr/news/articleView.html?idxno=11018,Atlas News (아틀라스뉴스),2026-08-16,INSTITUTIONAL,
S-0007,atunis_jhaveri,"ATUNIS Poetry profile, Dileep Jhaveri",WEBSITE,https://atunispoetry.com/2018/03/13/dileep-jhaveri,ATUNIS Poetry,2026-08-16,POPULAR,
S-0008,authorscalendar_koun,"Petri Liukkonen, Authors Calendar: 'Ko Un' (1992 India visit; novel Little Pilgrim set in India)",WEBSITE,http://authorscalendar.info/koun.htm,authorscalendar.info,2026-08-16,POPULAR,
S-0009,bbs_gakseong,"BBS News (2020-09-28), 각성스님 입적 report",NEWS,http://news.bbsi.co.kr/news/articleView.html?idxno=3006316,BBS News,2026-08-16,POPULAR,
S-0010,bbs_or_kr_seonmyeong,"BBS (Buddhist Broadcasting System) overseas pilgrimage program: 세계 선명상 투어 4탄 India-Nepal 8N10D, 26 Dec 2025 - 4 Jan 2026, led by 선업 스님 (former Jogye 포교원장)",WEBSITE,https://www.bbs.or.kr/HOME2/?ACT=TRIP&MODE=BOARD&DETAIL=VIEW&ProgramCode=0&BoardType=BBSI_BOARD_PLACE&BoardTitle=해외성지순례&BoardGubun=OUT&IDX=136&Page=1,BBS (bbs.or.kr),2026-08-16,INSTITUTIONAL,
S-0011,beopbo_2022_jogye,"Beopbo (2022-05-20): Jogye delegation pilgrimage Sarnath->Bodh Gaya (Mahabodhi), May 2022",NEWS,https://www.beopbo.com/news/articleView.html?idxno=309535,Beopbo (법보신문),2026-08-16,INSTITUTIONAL,
S-0012,beopbo_chosunbulgyo,"Beopbo, '최남선의 『조선불교』' (2004)",SECONDARY,https://www.beopbo.com/news/articleView.html?idxno=28414,Beopbo,2026-08-16,INSTITUTIONAL,
S-0013,beopbo_lee_youngjae,Beopbo (법보신문) series entry: '⑦ 이영재 스님(1900~1927)' - 1924 Nihon Univ grad; 1925 Sri Lanka via India pilgrimage; died en route,NEWS,https://www.beopbo.com/news/articleView.html?idxno=29123,Beopbo (법보신문),2026-08-16,INSTITUTIONAL,
