text_id,title,title_variants,author_person_id,language,date,text_type,india_relevance,korea_relevance,translation_info,confidence,notes
TX-0001,Wang ocheonchukguk jeon,往五天竺國傳; Memoir of the Pilgrimage to the Five Kingdoms of India,P-0001,lzh,723,TRAVELOGUE,Sole surviving 8th-c. East Asian record of India/Central Asia; key primary source for 8th-c. India,First Korean travel record of India; foundational for Korean India-studies,"Translated into Korean, English, Japanese; Dunhuang ms. at BnF",HIGH,"Discovered at Dunhuang by Pelliot 1908; authorship confirmed by Takakusu 1915; first German translation by W. Fuchs 1938 (Huei-ch'ao's Pilgerreise durch Nordwest-Indien und Zentral-Asien um 726, Sitzungsberichte der Preussischen Akademie der Wissenschaften, Phil.-hist. Klasse XXX, 1938; pub. 1939 per KCI Lee Jae-won 2016) - encykorea E0039126 gives 1928, an error contradicted by the bibliographic record and the peer-reviewed KCI article; Ch'oe Nam-sŏn 1943 Korean edition"
TX-0002,Haedong-so commentaries,海東疏; incl. commentary on the Awakening of Faith (Daeseung gisillon so),P-0003,lzh,650,COMMENTARY,"Commentary on Indian-origin text (Awakening of Faith, attributed to Asvaghosa)",Korea's greatest Buddhist philosophical works; studied in Tang and Japan,Transmitted to Japan,HIGH,
TX-0003,Samguk Yusa,三國遺事; Memorabilia of the Three Kingdoms,P-0009,lzh,1283,HISTORY,"Preserves Marananta, Gyeomik, Heo Hwang-ok and Suro traditions of Indian contact",Most important Korean historical compendium after Samguk Sagi,English translation (Tae-Hung Ha & Grafton Mintz 1972),HIGH,c. 1283-1287
TX-0004,Jibong yuseol,芝峰類說,P-0025,lzh,1614,TREATISE,"Foreign Countries section includes Bengal, Ceylon, Calicut entries",Foundational Korean encyclopedia,Modern scholarly editions,HIGH,
TX-0005,Oju yŏnmun changjŏn san'go,五洲衍文長箋散稿,P-0026,lzh,1850,TREATISE,India entries NOT yet verified (research gap),One of Joseon's greatest encyclopedias,NULL,LOW,India-specific content unverified in pilot
TX-0006,Jiguyŏn'gu,地球典要,P-0027,lzh,1857,TREATISE,First complete Korean-language world geography incl. Indian subcontinent,Major Silhak world-geography work,NULL,HIGH,Based on Yinghuan zhilüe and Haiguo tuzhi
TX-0007,Chosŏn Pulgyo T'ongsa,朝鮮佛敎通史,P-0028,ko,1918,HISTORY,Traces Korean Buddhism to Indian origins,First comprehensive Korean Buddhist history,NULL,HIGH,Internet Archive scan available
TX-0008,Gitanjali,기탄자리,P-0030,bn/en,1910,POEM,Nobel-winning Indian poetry collection,Source text for Korea's first full Tagore translation (Kim Ŏk 1923),"Korean translations: Jeong Ji-yong 1923 (9 poems), Kim Ŏk 1923 (full)",HIGH,
TX-0009,The Gardener,원정; The Gardener,P-0030,en,1913,POEM,Tagore collection,Subject of Yi Kwang-su's 1925 Dong-a Ilbo review,NULL,HIGH,
TX-0010,The Lamp of the East (1929 message),동방의 등불; 6-line English note of 1929-03-28,P-0030,en,1929,LETTER,Tagore's message to the Korean people,Korea's most beloved consolation text; monument at Daehak-ro,Chu Yo-han's 4-line Korean rendering (1929); later 15-line 'poem' version is a composite/fabrication,HIGH,Authenticity controversy documented in notes of P-0030
TX-0011,The Song of the Defeated,쫓긴 이의 노래; Fruit-Gathering no. 85,P-0030,en,1916,POEM,Tagore poem sent to Chin Hak-mun 1916,"First Tagore poem published in Korea (Ch'ŏngch'un, Nov 1917)",Chin Hak-mun's Korean translation,HIGH,
TX-0012,Nim-ŭi Ch'immuk,님의 침묵; The Silence of the Beloved,P-0034,ko,1926,POEM,Korean absorption of Tagore's spiritual lyricism (per KCI scholarship),Canonical Korean resistance poetry,English translations exist,HIGH,
TX-0013,Gitanjali translation (Kim Ŏk),"기탄자리 (1923, Imunkwan, Pyongyang)",P-0032,ko,1923,TRANSLATION,First full Korean translation of Gitanjali,Landmark of Korean translation literature,From English,HIGH,
TX-0014,Hwimun Gitanjali translation (Jeong Ji-yong),"9 poems in Hwimun magazine, Jan 1923",P-0033,ko,1923,TRANSLATION,Earliest independently documented Korean Tagore translation,School magazine publication,From English,HIGH,
TX-0015,Chu Yo-han's 4-line translation,"일즉이 아세아의 황금 시기에 (Dong-a Ilbo, Apr 1929)",P-0036,ko,1929,TRANSLATION,Translation of Tagore's 6-line message,National consolation text,From English,HIGH,
TX-0016,Chosŏn Pulgyo,朝鮮佛敎 (1930),P-0029,ko,1930,TREATISE,Argues Buddhism reached Korea directly from India/Xiyu (northern route),Korean Buddhist history for Pan-Pacific Buddhist Youth Conference,NULL,HIGH,
TX-0017,Mujŏng,無情; The Heartless,P-0035,ko,1917,TREATISE,(not India-related; listed for completeness of Yi Kwang-su's corpus),First Korean modern novel,English translation,HIGH,
TX-0018,Muso-yu,무소유; Nothing to Possess,P-0052,ko,1976,TREATISE,Gandhi's words open the collection; Gandhian renunciation ethics,Bestselling Korean Buddhist essay collection,Translated into several languages,HIGH,
TX-0019,Wookwan's Korean Temple Food,사찰음식 (2019),P-0064,en,2019,TREATISE,India-trained author (Delhi Univ. Buddhist studies),Korean temple food internationalization; IBPA Benjamin Franklin Award silver,English,HIGH,
TX-0020,Morning Calm and The Pensive Beyond,Cultural Interflow Between India and Korea (2019),P-0053,en,2019,TREATISE,India's foremost living Indologist on India-Korea interflow,Dedicated India-Korea cultural interflow study,NULL,HIGH,"Aditya Prakashan, ISBN 978-8194085034"
TX-0021,India and Korea Through the Ages,"Historical, Religious and Cultural (co-edited)",P-0061,en,2000,TREATISE,India-Korea historical/cultural relations,Korean studies in India,NULL,HIGH,
TX-0022,The day breaks O! India,"Choyi Kim Yang-Shik; Hindi tr. Divik Ramesh, English by Jin Sup Kim",P-0066,hi/ko,2010,POEM,Korean poetry into Hindi,Korean poetry circulation in India,HathiTrust record,HIGH,
TX-0023,Korean Poetry - Journey,कोरियाई कविता-यात्रा (Sahitya Akademi),P-0066,hi,2015,TRANSLATION,Korean poetry in Hindi translation,Korean literature in India,NULL,HIGH,
TX-0024,Hindi-Korean Dictionary,힌디-한국어사전,P-0056,hi/ko,2010,TREATISE,Lexicographic bridge between Hindi and Korean,Key tool for Korean Hindi studies,NULL,HIGH,
TX-0025,Tamas (Korean translation),"तमस (Bhisham Sahni), Korean tr. Lee Jeong-ho",P-0056,ko,2010,TRANSLATION,Indian Partition novel into Korean,Korean reception of Hindi literature,From Hindi,HIGH,
TX-0026,Mahatma Gandhi biography (Korean),마하트마 간디 평전,P-0056,ko,2010,BIOGRAPHY,Gandhi biography for Korean readers,Korean Gandhi reception,From various,HIGH,
TX-0027,"History of the Custodian Force (India) in Korea, 1953-54",Official history,None,en,1955,HISTORY,Official Indian record of the ICF mission,Primary record of India's Korea peacekeeping role,NULL,HIGH,Government of India publication
TX-0028,Samguk Sagi,三國史記,None,lzh,1145,HISTORY,Records Marananta's 384 arrival and Baekje Buddhism,Korea's oldest extant history,English translation available,HIGH,Author: Kim Busik (not yet a dataset person)
TX-0029,Seong yusik non hakki,成唯識論學記,P-0005,lzh,750,COMMENTARY,Commentary on Cheng Weishi Lun (Indian Yogacara),Silla Yogacara scholarship,NULL,HIGH,
TX-0030,Chosŏn Pulgyo (Ch'oe Nam-sŏn 1930),see TX-0016 (dedupe),P-0029,ko,1930,TREATISE,,,,HIGH,
